"zcta5","state","cd114","stab","zipname","pop10","afact"
"ZIP Census Tabulation Area","FIPS state","cd114","State Postal Code","zipname","Total Pop, 2010 census","zcta5 to cd114 alloc factor"
"02139","25","05","MA","Cambridge, MA",11267,0.31 
"02139","25","07","MA","Cambridge, MA",25082,0.69 
"02140","25","05","MA","Cambridge, MA",5880,0.334 
"02140","25","07","MA","Cambridge, MA",11727,0.666 
"02141","25","07","MA","Cambridge, MA",11910,1 
"02142","25","07","MA","Cambridge, MA",3141,1 
"02143","25","07","MA","Somerville, MA",24514,1 
"02144","25","07","MA","Somerville, MA",23891,1 
"02145","25","05","MA","Somerville, MA",136,0.005 
"02145","25","07","MA","Somerville, MA",25303,0.995 
"02148","25","05","MA","Malden, MA",59386,0.998 
"02148","25","07","MA","Malden, MA",117,0.002 
"02149","25","07","MA","Everett, MA",41550,1 
"02150","25","07","MA","Chelsea, MA",35124,1 
"02151","25","05","MA","Revere, MA",51755,0.999 
"02151","25","07","MA","Revere, MA",53,0.001 
"02152","25","05","MA","Winthrop Town, MA",17497,1 
"02155","25","05","MA","Medford, MA",56101,0.968 
"02155","25","07","MA","Medford, MA",1863,0.032 
"02163","25","07","MA","Boston, MA",2582,1 
"02169","25","08","MA","Quincy, MA",55055,1 
"02170","25","08","MA","Quincy, MA",19505,1 
"02171","25","08","MA","Quincy, MA",17711,1 
"02176","25","05","MA","Melrose, MA",26983,1 
"02180","25","05","MA","Stoneham, MA",21437,1 
"02184","25","08","MA","Braintree Town, MA",35744,1 
"02186","25","07","MA","Milton, MA",8030,0.297 
"02186","25","08","MA","Milton, MA",18973,0.703 
"02188","25","08","MA","Weymouth Town, MA",14608,1 
"02189","25","08","MA","Weymouth Town, MA",14559,1 
"02190","25","08","MA","Weymouth Town, MA",16119,1 
"02191","25","08","MA","Weymouth Town, MA",8457,1 
"02199","25","07","MA","Boston, MA",1146,1 
"02210","25","08","MA","Boston, MA",2090,1 
"02215","25","04","MA","Boston, MA",1,0 
"02215","25","07","MA","Boston, MA",26124,1 
"02301","25","08","MA","Brockton, MA",61025,1 
"02302","25","08","MA","Brockton, MA",32741,1 
"02322","25","08","MA","Avon, MA",4356,1 
"02324","25","08","MA","Bridgewater, MA",26563,1 
"02330","25","09","MA","Carver, MA",11509,1 
"02332","25","09","MA","Duxbury, MA",15059,1 
"02333","25","08","MA","East Bridgewater, MA",13794,1 
"02338","25","09","MA","Halifax, MA",7518,1 
"02339","25","09","MA","Hanover, MA",13879,1 
"02341","25","09","MA","Hanson, MA",10218,1 
"02343","25","08","MA","Holbrook, MA",10745,1 
"02346","25","09","MA","Middleboro, MA",23106,1 
"02347","25","04","MA","Lakeville, MA",10602,0.999 
"02347","25","09","MA","Lakeville, MA",10,0.001 
"02351","25","08","MA","Abington, MA",16029,1 
"02356","25","04","MA","North Easton, MA",12564,1 
"02357","25","04","MA","Easton, North Easton, MA",1360,1 
"02359","25","09","MA","Pembroke, MA",17828,1 
"02360","25","09","MA","Plymouth, MA",56271,1 
"02364","25","09","MA","Kingston, MA",12629,1 
"02366","25","09","MA","South Carver, MA (PO Boxes)",197,1 
"02367","25","09","MA","Plympton, MA",2820,1 
"02368","25","07","MA","Randolph, MA",32112,0.999 
"02368","25","08","MA","Randolph, MA",46,0.001 
"02370","25","09","MA","Rockland, MA",17489,1 
"02375","25","04","MA","South Easton, MA",9188,1 
"02379","25","08","MA","West Bridgewater, MA",6916,1 
"02382","25","08","MA","Whitman, MA",14489,1 
"02420","25","05","MA","Lexington, MA",14052,1 
"02421","25","05","MA","Lexington, MA",17342,1 
"02445","25","04","MA","Brookline, MA",20679,1 
"02446","25","04","MA","Brookline, MA",29311,1 
"02451","25","05","MA","Waltham, MA",17426,1 
"02452","25","05","MA","Waltham, MA",14238,1 
"02453","25","05","MA","Waltham, MA",28968,1 
"02457","25","04","MA","Wellesley, MA",1432,1 
"02458","25","04","MA","Newton, MA",12131,1 
"02459","25","04","MA","Newton, MA",19095,1 
"02460","25","04","MA","Newton, MA",8742,1 
"02461","25","04","MA","Newton, MA",7059,1 
"02462","25","04","MA","Newton, MA",1554,1 
"02464","25","04","MA","Newton, MA",2953,1 
"02465","25","04","MA","Newton, MA",11710,1 
"02466","25","04","MA","Newton, MA",8096,1 
"02467","25","04","MA","Brookline, MA",17264,0.768 
"02467","25","07","MA","Brookline, MA",3286,0.146 
"02467","25","08","MA","Brookline, MA",1941,0.086 
"02468","25","04","MA","Newton, MA",5273,1 
"02472","25","04","MA","Watertown Town, MA",10,0 
"02472","25","05","MA","Watertown Town, MA",32004,1 
"02474","25","05","MA","Arlington, MA",26312,1 
"02476","25","05","MA","Arlington, MA",16532,1 
"02478","25","05","MA","Belmont, MA",24664,1 
"02481","25","04","MA","Wellesley, MA",16244,1 
"02482","25","04","MA","Wellesley, MA",10306,1 
"02492","25","04","MA","Needham, MA",19931,1 
"02493","25","05","MA","Weston, MA",11261,1 
"02494","25","04","MA","Needham, MA",8955,1 
"02532","25","09","MA","Buzzards Bay, MA",12690,1 
"02534","25","09","MA","Cataumet, MA (PO Boxes)",842,1 
"02535","25","09","MA","Chilmark, MA",1177,1 
"02536","25","09","MA","East Falmouth, MA",19583,1 
"02537","25","09","MA","East Sandwich, MA",6293,1 
"02538","25","09","MA","White Island Shores, MA",3603,1 
"02539","25","09","MA","Edgartown, MA",4067,1 
"02540","25","09","MA","Falmouth, MA",8221,1 
"02542","25","09","MA","Buzzards Bay, MA",1139,1 
"02543","25","09","MA","Woods Hole, MA",635,1 
"02553","25","09","MA","Monument Beach, MA",226,1 
"02554","25","09","MA","Nantucket, MA",9852,1 
"02556","25","09","MA","North Falmouth, MA",3115,1 
"02557","25","09","MA","Oak Bluffs, MA (PO Boxes)",4491,1 
"02558","25","09","MA","Onset, MA",2156,1 
"02559","25","09","MA","Pocasset, MA",3376,1 
"02561","25","09","MA","Sagamore, MA",539,1 
"02562","25","09","MA","Sagamore, MA",2977,1 
"02563","25","09","MA","Sandwich, MA",10359,1 
"02564","25","09","MA","Siasconset, MA",310,1 
"02568","25","09","MA","Vineyard Haven, MA",4000,1 
"02571","25","09","MA","Wareham, MA",10481,1 
"02575","25","09","MA","West Tisbury, MA (PO Boxes)",2725,1 
"02576","25","09","MA","West Wareham, MA",3754,1 
"02584","25","09","MA","Nantucket, MA",10,1 
"02601","25","09","MA","Barnstable Town, MA",14089,1 
"02630","25","09","MA","Barnstable Town, MA",1850,1 
"02631","25","09","MA","Brewster, MA",9679,1 
"02632","25","09","MA","Barnstable Town, MA",10742,1 
"02633","25","09","MA","Chatham, MA",3884,1 
"02635","25","09","MA","Barnstable Town, MA",3296,1 
"02637","25","09","MA","Barnstable Town, MA",253,1 
"02638","25","09","MA","Dennis, MA",3207,1 
"02639","25","09","MA","Dennis Port, MA",2875,1 
